user_id,signup_date,channel,campaign_cost,impressions,clicks,signups,activated,converted,monthly_revenue,months_active,lifetime_value
1,2024-04-12,Paid Social,383.64,6076,358.0,1,0,1,59.05,4.0,236.2
2,2024-12-14,Organic,30.35,6688,835.0,1,0,0,42.21,15.0,633.15
3,2024-09-27,Paid Social,208.94,8716,1522.0,1,0,0,71.45,17.0,1214.65
4,2024-04-16,Email,2.56,6404,1408.0,0,0,1,148.32,16.0,2373.12
5,2024-03-12,Paid Social,28.09,7445,1627.0,1,0,0,25.71,10.0,257.1
6,2024-07-07,Paid Search,97.19,7975,1982.0,0,1,0,2.76,16.0,44.16
7,2024-01-21,Paid Social,74.03,9186,1303.0,1,0,0,1.97,15.0,29.55
8,2024-04-12,Paid Social,122.25,6733,1660.0,1,0,1,14.02,22.0,308.44
9,2024-05-01,Paid Social,62.09,697,482.0,0,0,0,107.85,1.0,107.85
10,2024-08-02,Email,78.92,3162,908.0,1,1,0,29.63,3.0,88.89
11,2024-11-26,Paid Search,77.71,2436,1134.0,0,1,0,12.69,20.0,253.79999999999998
12,2024-03-28,,,9979,865.0,0,1,1,20.38,6.0,122.28
13,2024-04-09,Email,89.87,672,138.0,1,1,0,36.51,1.0,36.51
14,2024-12-25,Organic,75.2,7621,,0,0,1,42.33,5.0,211.64999999999998
15,2024-05-31,Organic,62.68,6271,434.0,0,1,0,,16.0,
16,2024-05-10,Organic,69.4,7197,508.0,1,0,1,150.95,6.0,905.6999999999999
17,2024-05-29,Organic,99.42,2190,272.0,1,0,1,31.48,4.0,125.92
18,2024-11-04,Organic,100.74,6666,1122.0,1,1,0,5.83,4.0,23.32
19,2024-09-14,Referral,,4724,1787.0,0,1,0,89.64,19.0,1703.16
20,2024-12-09,Organic,36.29,1733,1873.0,0,0,0,3.1,15.0,46.5
21,2024-10-20,Paid Search,15.34,1617,103.0,0,1,0,95.32,18.0,1715.7599999999998
22,2024-07-10,Email,257.03,3748,1237.0,0,1,1,,8.0,
23,2024-10-03,Organic,26.14,1637,1784.0,1,0,0,48.22,4.0,192.88
24,2024-06-09,Email,40.97,3237,1687.0,1,0,0,,7.0,
25,2024-11-09,Paid Search,142.31,7085,761.0,0,0,0,16.46,8.0,131.68
26,2024-01-22,Organic,21.35,197,786.0,1,0,1,113.6,4.0,454.4
27,2024-09-09,Referral,52.88,3850,164.0,0,0,0,30.18,,
28,2024-08-23,Paid Social,163.12,8635,998.0,1,0,0,52.73,1.0,52.73
29,2024-12-10,Email,81.35,8274,1876.0,1,0,0,,8.0,
30,2024-02-18,Referral,,8203,519.0,0,1,1,147.84,10.0,1478.4
31,2024-02-28,Email,134.7,5513,1307.0,0,1,0,,3.0,
32,2024-06-18,Paid Search,,4766,516.0,1,1,0,14.44,21.0,303.24
33,2024-07-06,Organic,,710,656.0,0,0,0,135.91,21.0,2854.11
34,2024-09-27,Referral,16.2,1827,612.0,1,1,0,39.57,21.0,830.97
35,2024-07-08,Email,124.27,1954,163.0,0,1,0,,1.0,
36,2024-06-23,,56.57,5155,1909.0,0,1,1,45.09,22.0,991.98
37,2024-02-20,Paid Search,122.18,2424,1682.0,0,0,1,14.68,5.0,73.4
38,2024-12-29,Paid Search,237.81,9469,63.0,0,1,0,18.48,13.0,240.24
39,2024-02-24,Referral,231.37,9383,1114.0,1,0,1,31.98,0.0,0.0
40,2024-08-31,Paid Search,73.54,5874,1140.0,1,0,0,62.43,17.0,1061.31
41,2024-11-15,Email,146.99,6619,1889.0,0,1,1,15.31,6.0,91.86
42,2024-05-10,Email,62.83,1849,266.0,1,1,1,34.67,0.0,0.0
43,2024-11-02,Paid Search,96.82,881,1845.0,0,0,0,16.96,0.0,0.0
44,2024-05-14,Referral,18.59,7648,1708.0,1,1,1,67.66,0.0,0.0
45,2024-01-21,Referral,41.69,6923,1582.0,0,1,0,25.15,23.0,578.4499999999999
46,2024-11-24,Organic,126.14,2205,1163.0,0,0,0,,3.0,
47,2024-06-15,Email,13.66,3967,245.0,0,1,0,7.26,3.0,21.78
48,2024-09-30,Paid Social,89.64,7293,1684.0,1,0,0,2.52,17.0,42.84
49,2024-03-29,Email,95.43,5076,1781.0,0,1,1,27.67,10.0,276.70000000000005
50,2024-11-11,Paid Search,,2213,394.0,1,1,1,4.5,0.0,0.0
51,2024-01-14,Email,18.71,5979,1510.0,1,0,0,4.85,9.0,43.65
52,2024-08-29,Paid Search,14.93,4070,475.0,0,1,1,113.24,8.0,905.92
53,2024-09-21,Organic,164.67,9359,1540.0,0,1,1,82.43,22.0,1813.46
54,2024-12-11,Email,95.49,7364,976.0,0,1,0,24.07,3.0,72.21000000000001
55,2024-02-22,Organic,63.53,1677,1207.0,1,1,0,170.2,5.0,851.0
56,2024-12-05,Paid Search,17.8,9303,,1,1,0,0.01,15.0,0.15
57,2024-04-01,,60.07,2374,1960.0,1,1,1,38.07,1.0,38.07
58,2024-09-20,,30.99,4969,557.0,1,1,1,38.33,22.0,843.26
59,2024-02-04,Paid Social,158.88,6844,1017.0,1,1,0,24.46,17.0,415.82
60,2024-07-24,Paid Social,,2526,1547.0,0,0,1,20.23,9.0,182.07
61,2024-03-21,Paid Search,,5646,1605.0,1,1,0,24.31,23.0,559.13
62,2024-02-19,Paid Search,147.95,6952,1552.0,0,0,0,21.44,23.0,493.12
63,2024-12-25,Paid Search,129.99,2651,882.0,0,1,0,52.45,16.0,839.2
64,2024-01-02,Referral,57.34,6511,146.0,0,1,0,5.82,12.0,69.84
65,2024-02-23,Referral,131.23,107,665.0,0,1,0,8.81,23.0,202.63000000000002
66,2024-04-15,Referral,148.12,8187,1327.0,0,1,0,,17.0,
67,2024-09-16,Referral,92.28,2655,619.0,1,1,0,12.18,21.0,255.78
68,2024-11-05,Organic,115.62,575,1771.0,1,0,0,29.8,12.0,357.6
69,2024-07-09,Paid Social,70.31,5516,819.0,1,1,0,4.72,16.0,75.52
70,2024-08-05,Organic,179.53,0,863.0,1,0,1,81.05,4.0,324.2
71,2024-02-13,Paid Social,78.25,0,581.0,0,0,0,14.12,10.0,141.2
72,2024-06-10,Paid Search,21.56,6810,1022.0,1,0,1,7.1,6.0,42.599999999999994
73,2024-07-20,Email,120.04,5100,694.0,0,1,0,45.03,9.0,405.27
74,2024-09-26,Paid Search,32.53,4754,1785.0,0,1,0,1.55,16.0,24.8
